año,mes,día,hora,día_d_año,semana_d_año,día_d_semana,Cuatrimestre,X,Y,hurto_simple,robo,robo_agr,hurto_agr,hurto_casa,hurto_auto
2014,4,3,20,93,14,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,3,19,93,14,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,3,15,93,14,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,8,21,98,15,1,2,-77.02446314,-12.09458036,0.0,0.0,0.0,1.0,0.0,0.0
2014,3,21,18,80,12,4,1,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,16,15,106,16,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,16,19,106,16,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,16,19,106,16,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,15,16,105,16,1,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,15,17,105,16,1,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,17,22,107,16,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,17,22,107,16,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,22,9,112,17,1,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,24,14,114,17,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,24,20,114,17,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,24,20,114,17,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,24,19,114,17,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,24,15,114,17,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,29,19,119,18,1,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,28,15,118,18,0,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,4,30,22,120,18,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,5,20,125,19,0,2,-77.02446314,-12.09458036,0.0,0.0,0.0,1.0,0.0,0.0
2014,5,5,22,125,19,0,2,-77.02446314,-12.09458036,0.0,0.0,0.0,1.0,0.0,0.0
2014,5,6,15,126,19,1,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,7,16,127,19,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,7,16,127,19,2,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,8,13,128,19,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,8,20,128,19,3,2,-77.02446314,-12.09458036,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,10,13,130,19,5,2,-77.02446314,-12.09458036,0.0,0.0,0.0,1.0,0.0,0.0
2014,7,19,14,200,29,5,3,-77.00595758,-12.09470214,1.0,0.0,0.0,0.0,0.0,0.0
2014,9,7,3,250,36,6,3,-77.00595758,-12.09470214,0.0,0.0,1.0,0.0,0.0,0.0
2014,9,27,23,270,39,5,3,-77.04729535,-12.09438259,0.0,0.0,1.0,0.0,0.0,0.0
2014,6,9,10,160,24,0,2,-77.04729535,-12.09438259,1.0,0.0,0.0,0.0,0.0,0.0
2014,5,14,21,134,20,2,2,-77.0332415,-12.09444023,0.0,0.0,0.0,0.0,1.0,0.0
2014,2,18,17,49,8,1,1,-77.00281494,-12.09464256,0.0,0.0,0.0,1.0,0.0,0.0
